solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,12,2,24,2,2,81,16,5.153670,0.149055,6.564043,11.981585,8,0.001927,0.009037,6.760374,0.000000
matrix_free,time_complexity,12,2,24,2,2,81,0,8.713500,0.000058,13.210916,21.965346,5,0.001602,0.047485,3.687627,0.000000
matrix_based,time_complexity,12,2,24,3,2,289,64,6.719562,0.153989,10.700008,17.642378,9,0.000245,0.026714,16.381012,0.000000
matrix_free,time_complexity,12,2,24,3,2,289,0,12.836960,0.021873,20.437201,33.351648,6,0.000205,0.070333,8.665239,0.000000
matrix_based,time_complexity,12,2,24,4,2,1089,256,7.785084,0.179338,13.275992,21.314298,10,0.000031,0.060421,51.092464,0.000000
matrix_free,time_complexity,12,2,24,4,2,1089,0,17.338260,0.021946,25.829267,43.241577,6,0.000026,0.088649,25.184095,0.000000
matrix_based,time_complexity,12,2,24,5,2,4225,1024,9.130839,0.140990,18.422968,27.815547,10,0.000004,0.155918,151.893472,0.000000
matrix_free,time_complexity,12,2,24,5,2,4225,0,22.529422,0.020916,31.616288,54.252631,6,0.000003,0.119091,77.876407,0.000000
matrix_based,time_complexity,12,2,24,6,2,16641,4096,10.383265,8.089666,25.020478,43.569378,11,0.000000,0.473469,381.942565,0.000000
matrix_free,time_complexity,12,2,24,6,2,16641,0,28.099382,0.034844,37.847267,66.036476,6,0.000000,0.199827,251.997093,0.000000
matrix_based,time_complexity,12,2,24,7,2,66049,16384,12.384456,1.834467,26.869004,41.203191,11,0.000000,1.563480,1603.006927,0.000000
matrix_free,time_complexity,12,2,24,7,2,66049,0,35.254204,0.016548,45.721542,81.039494,6,0.000000,0.473493,815.022360,0.000000
matrix_based,time_complexity,12,2,24,8,2,263169,65536,14.333843,9.825606,29.924965,54.338799,11,0.000000,5.562183,4843.114026,0.000000
matrix_free,time_complexity,12,2,24,8,2,263169,0,41.628072,0.084292,51.077041,92.856828,6,0.000000,1.506973,2834.137302,0.000000
matrix_based,time_complexity,12,2,24,9,2,1050625,262144,18.578549,4.009640,37.131910,60.593989,12,0.000000,21.051853,17338.765929,0.000000
matrix_free,time_complexity,12,2,24,9,2,1050625,0,51.039462,0.240847,58.940959,110.377692,6,0.000000,5.555375,9518.454183,0.000000
matrix_based,time_complexity,12,2,24,10,2,4198401,1048576,33.707985,19.702945,59.430316,115.950680,12,0.000000,81.812763,36208.506915,0.000000
matrix_free,time_complexity,12,2,24,10,2,4198401,0,67.348722,0.877080,71.771356,140.400724,6,0.000000,21.615700,29902.986782,0.000000
