solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,9,3,27,2,2,81,16,3.525989,0.094045,4.523994,8.215292,8,0.001927,0.008230,9.859661,0.000000
matrix_free,time_complexity,9,3,27,2,2,81,0,6.270175,0.000068,9.409843,15.714583,5,0.001602,0.047485,5.154448,0.000000
matrix_based,time_complexity,9,3,27,3,2,289,64,4.523249,0.341112,7.485980,12.398373,9,0.000245,0.024023,23.309510,0.000000
matrix_free,time_complexity,9,3,27,3,2,289,0,9.093940,0.022885,14.747244,23.908755,6,0.000205,0.071356,12.087622,0.000000
matrix_based,time_complexity,9,3,27,4,2,1089,256,5.756827,0.654975,11.688027,18.170440,10,0.000031,0.057875,59.932507,0.000000
matrix_free,time_complexity,9,3,27,4,2,1089,0,13.051353,0.003063,18.993078,32.083481,6,0.000026,0.090276,33.942701,0.000000
matrix_based,time_complexity,9,3,27,5,2,4225,1024,6.596484,0.516988,13.867369,21.030544,10,0.000004,0.151262,200.898271,0.000000
matrix_free,time_complexity,9,3,27,5,2,4225,0,16.596086,0.025894,23.459318,40.117727,6,0.000003,0.125010,105.315040,0.000000
matrix_based,time_complexity,9,3,27,6,2,16641,4096,7.789389,0.119723,16.976997,24.932466,11,0.000000,0.451471,667.443013,0.000000
matrix_free,time_complexity,9,3,27,6,2,16641,0,20.762942,0.019707,27.272269,48.096552,6,0.000000,0.227484,345.991539,0.000000
matrix_based,time_complexity,9,3,27,7,2,66049,16384,8.758549,0.289035,18.832984,27.957365,11,0.000000,1.538218,2362.490130,0.000000
matrix_free,time_complexity,9,3,27,7,2,66049,0,25.170303,0.018528,32.766517,57.999436,6,0.000000,0.584024,1138.786942,0.000000
matrix_based,time_complexity,9,3,27,8,2,263169,65536,10.465142,0.998857,21.795985,33.487305,11,0.000000,5.691843,7858.769280,0.000000
matrix_free,time_complexity,9,3,27,8,2,263169,0,30.346070,0.067160,38.338506,68.817930,6,0.000000,1.948898,3824.134187,0.000000
matrix_based,time_complexity,9,3,27,9,2,1050625,262144,14.332633,3.268138,26.166913,44.537113,11,0.000000,21.630953,23589.876601,0.000000
matrix_free,time_complexity,9,3,27,9,2,1050625,0,37.602034,0.264232,44.329976,82.328553,6,0.000000,7.327694,12761.368395,0.000000
matrix_based,time_complexity,9,3,27,10,2,4198401,1048576,29.231595,8.290920,45.279477,85.864384,12,0.000000,84.466867,48895.721153,0.000000
matrix_free,time_complexity,9,3,27,10,2,4198401,0,51.716755,0.914379,55.954312,108.970844,6,0.000000,28.705442,38527.745858,0.000000
