solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,7,4,28,2,2,81,16,2.579064,0.958313,3.261026,6.849310,8,0.001927,0.007692,11.826008,0.000000
matrix_free,time_complexity,7,4,28,2,2,81,0,4.483798,0.010941,6.726936,11.238369,5,0.001602,0.057734,7.207452,0.000000
matrix_based,time_complexity,7,4,28,3,2,289,64,3.178528,0.240026,5.360373,8.813301,9,0.000245,0.022558,32.791345,0.000000
matrix_free,time_complexity,7,4,28,3,2,289,0,6.666658,0.010059,10.711127,17.426473,6,0.000205,0.071253,16.583964,0.000000
matrix_based,time_complexity,7,4,28,4,2,1089,256,3.826091,0.192026,7.051968,11.117421,10,0.000031,0.054201,97.954372,0.000000
matrix_free,time_complexity,7,4,28,4,2,1089,0,8.985816,0.017924,13.884284,22.911597,6,0.000026,0.093185,47.530515,0.000000
matrix_based,time_complexity,7,4,28,5,2,4225,1024,4.668362,0.074585,8.740985,13.540374,10,0.000004,0.144800,312.029788,0.000000
matrix_free,time_complexity,7,4,28,5,2,4225,0,11.542195,0.010891,16.651342,28.237607,6,0.000003,0.136023,149.623161,0.000000
matrix_based,time_complexity,7,4,28,6,2,16641,4096,5.331475,0.106190,10.432969,15.939324,10,0.000000,0.462679,1044.021676,0.000000
matrix_free,time_complexity,7,4,28,6,2,16641,0,14.669272,0.010779,19.793393,34.495557,6,0.000000,0.260689,482.409957,0.000000
matrix_based,time_complexity,7,4,28,7,2,66049,16384,6.089011,1.826040,13.739715,21.747984,11,0.000000,1.605143,3037.017185,0.000000
matrix_free,time_complexity,7,4,28,7,2,66049,0,17.814623,0.023331,23.091717,40.952178,6,0.000000,0.714671,1612.832402,0.000000
matrix_based,time_complexity,7,4,28,8,2,263169,65536,7.745178,2.196498,15.978997,26.152480,11,0.000000,5.962816,10062.869860,0.000000
matrix_free,time_complexity,7,4,28,8,2,263169,0,21.823805,0.065288,27.711033,49.656245,6,0.000000,2.464533,5299.816784,0.000000
matrix_based,time_complexity,7,4,28,9,2,1050625,262144,11.614563,2.645928,21.234432,36.281749,12,0.000000,23.497919,28957.396633,0.000000
matrix_free,time_complexity,7,4,28,9,2,1050625,0,27.430562,0.267562,31.698338,59.527268,6,0.000000,9.368088,17649.474615,0.000000
matrix_based,time_complexity,7,4,28,10,2,4198401,1048576,25.106066,7.929012,38.124712,74.164686,12,0.000000,89.864054,56609.165619,0.000000
matrix_free,time_complexity,7,4,28,10,2,4198401,0,39.446539,0.940350,43.594148,84.383217,6,0.000000,36.838085,49753.981285,0.000000
