solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,20,1,20,2,2,81,16,10.482130,0.210180,11.704908,22.576511,8,0.001927,0.011189,3.587800,0.000000
matrix_free,time_complexity,20,1,20,2,2,81,0,17.081398,0.000085,24.425747,41.610528,5,0.001602,0.047485,1.946623,0.000000
matrix_based,time_complexity,20,1,20,3,2,289,64,12.793098,0.276010,19.101981,32.309351,9,0.000245,0.030811,8.944779,0.000000
matrix_free,time_complexity,20,1,20,3,2,289,0,24.724598,0.042901,37.598206,62.440703,6,0.000205,0.070444,4.628391,0.000000
matrix_based,time_complexity,20,1,20,4,2,1089,256,15.673160,0.284030,29.664977,45.776483,10,0.000031,0.071331,23.789508,0.000000
matrix_free,time_complexity,20,1,20,4,2,1089,0,33.667430,0.034947,49.579451,83.394617,6,0.000026,0.085810,13.058397,0.000000
matrix_based,time_complexity,20,1,20,5,2,4225,1024,18.414132,0.267912,35.461969,54.280429,10,0.000004,0.175678,77.836525,0.000000
matrix_free,time_complexity,20,1,20,5,2,4225,0,43.137415,0.062918,59.041277,102.366586,6,0.000003,0.109518,41.273233,0.000000
matrix_based,time_complexity,20,1,20,6,2,16641,4096,20.873279,0.251900,40.824010,62.086493,10,0.000000,0.493832,268.029311,0.000000
matrix_free,time_complexity,20,1,20,6,2,16641,0,54.028595,0.066864,70.475382,124.680731,6,0.000000,0.162317,133.468900,0.000000
matrix_based,time_complexity,20,1,20,7,2,66049,16384,23.826875,0.353561,48.513959,72.898694,11,0.000000,1.602497,906.038179,0.000000
matrix_free,time_complexity,20,1,20,7,2,66049,0,66.857584,0.039713,81.546355,148.544497,6,0.000000,0.332527,444.641177,0.000000
matrix_based,time_complexity,20,1,20,8,2,263169,65536,26.939693,0.704219,57.012982,84.978185,12,0.000000,5.683674,3096.900702,0.000000
matrix_free,time_complexity,20,1,20,8,2,263169,0,80.422829,0.080043,94.507818,175.116153,6,0.000000,0.958322,1502.825388,0.000000
matrix_based,time_complexity,20,1,20,9,2,1050625,262144,32.747333,1.892559,63.519990,98.987284,12,0.000000,21.362972,10613.737003,0.000000
matrix_free,time_complexity,20,1,20,9,2,1050625,0,95.782688,0.213259,104.599925,200.761141,6,0.000000,3.395473,5233.208946,0.000000
matrix_based,time_complexity,20,1,20,10,2,4198401,1048576,48.190707,6.906102,87.459920,145.796065,13,0.000000,82.714260,28796.394531,0.000000
matrix_free,time_complexity,20,1,20,10,2,4198401,0,118.101055,0.886064,117.519590,236.957425,6,0.000000,13.041328,17717.955031,0.000000
