solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,14,2,28,2,2,81,16,6.356118,0.138052,7.961957,14.553290,8,0.001927,0.009575,5.565752,-0.124020
matrix_free,time_complexity,14,2,28,2,2,81,0,10.793889,0.020775,15.910202,26.770428,5,0.001602,0.057734,3.025727,0.000000
matrix_based,time_complexity,14,2,28,3,2,289,64,7.862456,0.176996,15.682613,23.803375,9,0.000245,0.028511,12.141136,-0.124020
matrix_free,time_complexity,14,2,28,3,2,289,0,15.783914,0.033936,25.635284,41.522686,6,0.000205,0.070444,6.960051,0.000000
matrix_based,time_complexity,14,2,28,4,2,1089,256,9.517590,0.181987,19.827951,29.614404,10,0.000031,0.067505,36.772646,-0.124020
matrix_free,time_complexity,14,2,28,4,2,1089,0,21.464251,0.021941,32.385268,53.955614,6,0.000026,0.088712,20.183256,0.000000
matrix_based,time_complexity,14,2,28,5,2,4225,1024,10.985632,0.201959,23.410999,34.704377,10,0.000004,0.169312,121.742569,-0.124020
matrix_free,time_complexity,14,2,28,5,2,4225,0,27.703872,0.045926,39.763322,67.588590,6,0.000003,0.115548,62.510551,0.000000
matrix_based,time_complexity,14,2,28,6,2,16641,4096,13.280160,0.123862,28.407354,41.922370,11,0.000000,0.487846,396.947981,-0.124020
matrix_free,time_complexity,14,2,28,6,2,16641,0,34.861589,0.025852,47.285485,82.229679,6,0.000000,0.186547,202.372187,0.000000
matrix_based,time_complexity,14,2,28,7,2,66049,16384,15.314027,2.254408,31.699018,49.419106,11,0.000000,1.622368,1336.507378,-0.124020
matrix_free,time_complexity,14,2,28,7,2,66049,0,42.362468,0.025365,54.470486,96.925223,6,0.000000,0.422714,681.442847,0.000000
matrix_based,time_complexity,14,2,28,8,2,263169,65536,17.457662,2.715381,36.606985,57.041847,11,0.000000,5.830460,4613.612862,-0.124020
matrix_free,time_complexity,14,2,28,8,2,263169,0,51.038407,0.083530,64.321678,115.555709,6,0.000000,1.308651,2277.421012,0.000000
matrix_based,time_complexity,14,2,28,9,2,1050625,262144,22.415303,3.432453,43.057015,69.701621,12,0.000000,22.039261,15073.178913,-0.124020
matrix_free,time_complexity,14,2,28,9,2,1050625,0,61.067750,0.259238,73.012832,134.500839,6,0.000000,4.779524,7811.289561,0.000000
matrix_based,time_complexity,14,2,28,10,2,4198401,1048576,36.544478,14.415290,60.277957,113.951336,12,0.000000,85.509964,36843.806710,-0.124020
matrix_free,time_complexity,14,2,28,10,2,4198401,0,77.903759,0.789415,85.326741,164.424129,6,0.000000,18.545127,25533.971281,0.000000
