solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,2,14,28,2,2,81,16,0.021818,0.006042,0.012104,0.049855,8,0.001927,0.004486,1624.711208,0.000000
matrix_free,time_complexity,2,14,28,2,2,81,0,0.054755,0.000121,0.009107,0.066059,5,0.001602,0.060599,1226.175802,0.000000
matrix_based,time_complexity,2,14,28,3,2,289,64,0.011261,0.008717,0.003870,0.026921,9,0.000245,0.010620,10735.002598,0.000000
matrix_free,time_complexity,2,14,28,3,2,289,0,0.052740,0.000118,0.009729,0.064152,6,0.000205,0.080032,4504.958595,0.000000
matrix_based,time_complexity,2,14,28,4,2,1089,256,0.016749,0.009274,0.007992,0.036400,10,0.000031,0.031441,29917.262697,0.000000
matrix_free,time_complexity,2,14,28,4,2,1089,0,0.084150,0.000301,0.013381,0.099398,6,0.000026,0.117726,10955.916380,0.000000
matrix_based,time_complexity,2,14,28,5,2,4225,1024,0.028309,0.012888,0.021348,0.068819,10,0.000004,0.105240,61392.991725,0.000000
matrix_free,time_complexity,2,14,28,5,2,4225,0,0.098115,0.002067,0.021952,0.124447,6,0.000003,0.229242,33950.326614,0.000000
matrix_based,time_complexity,2,14,28,6,2,16641,4096,0.083930,0.039334,0.071799,0.208474,10,0.000000,0.381676,79822.861457,0.000000
matrix_free,time_complexity,2,14,28,6,2,16641,0,0.152336,0.004994,0.121775,0.283602,6,0.000000,0.627126,58677.205908,0.000000
matrix_based,time_complexity,2,14,28,7,2,66049,16384,0.265953,0.129226,0.302118,0.745863,11,0.000000,1.450104,88553.772802,0.000000
matrix_free,time_complexity,2,14,28,7,2,66049,0,0.322045,0.016131,0.387950,0.734248,6,0.000000,2.158504,89954.574663,0.000000
matrix_based,time_complexity,2,14,28,8,2,263169,65536,1.080514,0.461329,1.044150,2.764266,11,0.000000,5.649391,95203.949563,0.000000
matrix_free,time_complexity,2,14,28,8,2,263169,0,0.786567,0.061638,1.223914,2.094797,6,0.000000,8.200208,125629.815648,0.000000
matrix_based,time_complexity,2,14,28,9,2,1050625,262144,4.258132,1.901504,4.253080,11.155454,11,0.000000,22.297897,94180.391700,0.000000
matrix_free,time_complexity,2,14,28,9,2,1050625,0,2.878283,0.233503,3.635582,6.835820,6,0.000000,32.235441,153694.069588,0.000000
matrix_based,time_complexity,2,14,28,10,2,4198401,1048576,17.648339,7.714620,18.769003,47.059426,12,0.000000,88.594841,89214.878210,0.000000
matrix_free,time_complexity,2,14,28,10,2,4198401,0,11.162873,0.934886,11.674661,24.113477,6,0.000000,128.149491,174110.148852,0.000000
