solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,2,12,24,2,2,81,16,0.028111,0.007107,0.013272,0.055782,8,0.001927,0.004486,1452.082332,0.000000
matrix_free,time_complexity,2,12,24,2,2,81,0,0.042866,0.000124,0.009691,0.054345,5,0.001602,0.060599,1490.483155,0.000000
matrix_based,time_complexity,2,12,24,3,2,289,64,0.014033,0.005960,0.006054,0.030336,9,0.000245,0.010620,9526.511606,0.000000
matrix_free,time_complexity,2,12,24,3,2,289,0,0.050335,0.001212,0.010459,0.063651,6,0.000205,0.080032,4540.373726,0.000000
matrix_based,time_complexity,2,12,24,4,2,1089,256,0.014056,0.008896,0.009297,0.036250,10,0.000031,0.031441,30041.433178,0.000000
matrix_free,time_complexity,2,12,24,4,2,1089,0,0.088504,0.001400,0.013250,0.104328,6,0.000026,0.117726,10438.217756,0.000000
matrix_based,time_complexity,2,12,24,5,2,4225,1024,0.026889,0.014917,0.018934,0.066103,10,0.000004,0.105240,63915.563320,0.000000
matrix_free,time_complexity,2,12,24,5,2,4225,0,0.095462,0.000992,0.021516,0.119962,6,0.000003,0.229242,35219.535200,0.000000
matrix_based,time_complexity,2,12,24,6,2,16641,4096,0.067404,0.034735,0.059632,0.174677,10,0.000000,0.381676,95267.034568,0.000000
matrix_free,time_complexity,2,12,24,6,2,16641,0,0.137105,0.004965,0.131208,0.275867,6,0.000000,0.627126,60322.636387,0.000000
matrix_based,time_complexity,2,12,24,7,2,66049,16384,0.291509,0.135284,0.299562,0.773505,11,0.000000,1.450104,85389.209217,0.000000
matrix_free,time_complexity,2,12,24,7,2,66049,0,0.281471,0.016265,0.470924,0.775570,6,0.000000,2.158504,85161.856782,0.000000
matrix_based,time_complexity,2,12,24,8,2,263169,65536,1.065635,0.504831,1.086901,2.841904,11,0.000000,5.649391,92603.061448,0.000000
matrix_free,time_complexity,2,12,24,8,2,263169,0,0.846432,0.056843,1.215197,2.140718,6,0.000000,8.200208,122934.923328,0.000000
matrix_based,time_complexity,2,12,24,9,2,1050625,262144,4.357092,2.008260,4.670037,11.765056,11,0.000000,22.297897,89300.468170,0.000000
matrix_free,time_complexity,2,12,24,9,2,1050625,0,2.864516,0.226273,3.724703,6.902789,6,0.000000,32.235441,152202.965675,0.000000
matrix_based,time_complexity,2,12,24,10,2,4198401,1048576,17.615417,7.664195,19.113926,47.340593,12,0.000000,88.594841,88685.011404,0.000000
matrix_free,time_complexity,2,12,24,10,2,4198401,0,11.162991,0.931879,12.640791,25.075654,6,0.000000,128.149491,167429.371044,0.000000
