solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,3,9,27,2,2,81,16,0.864845,0.459035,1.659991,2.999732,8,0.001927,0.006144,27.002412,-0.124020
matrix_free,time_complexity,3,9,27,2,2,81,0,1.259157,0.003360,2.415968,3.687481,5,0.001602,0.057623,21.966215,0.000000
matrix_based,time_complexity,3,9,27,3,2,289,64,0.997854,0.335059,1.662938,3.006431,9,0.000245,0.014284,96.127271,-0.124020
matrix_free,time_complexity,3,9,27,3,2,289,0,1.985460,0.007430,3.736224,5.738517,6,0.000205,0.075889,50.361442,0.000000
matrix_based,time_complexity,3,9,27,4,2,1089,256,1.198745,0.103978,2.506980,3.830565,10,0.000031,0.037477,284.292288,-0.124020
matrix_free,time_complexity,3,9,27,4,2,1089,0,2.694762,0.013891,4.744292,7.459737,6,0.000026,0.106308,145.983707,0.000000
matrix_based,time_complexity,3,9,27,5,2,4225,1024,1.427665,0.045887,2.904976,4.391378,10,0.000004,0.119295,962.112679,-0.124020
matrix_free,time_complexity,3,9,27,5,2,4225,0,3.520055,0.003581,5.990535,9.522971,6,0.000003,0.187021,443.664076,0.000000
matrix_based,time_complexity,3,9,27,6,2,16641,4096,1.680669,0.141048,3.565974,5.403935,11,0.000000,0.391176,3079.422609,-0.124020
matrix_free,time_complexity,3,9,27,6,2,16641,0,4.704762,0.006080,7.407506,12.128202,6,0.000000,0.460664,1372.091280,0.000000
matrix_based,time_complexity,3,9,27,7,2,66049,16384,2.202860,0.262640,4.652983,7.179254,11,0.000000,1.437960,9199.981555,-0.124020
matrix_free,time_complexity,3,9,27,7,2,66049,0,5.807518,0.020972,9.354576,15.199765,6,0.000000,1.494122,4345.396008,0.000000
matrix_based,time_complexity,3,9,27,8,2,263169,65536,3.435481,1.429882,5.580900,10.715672,11,0.000000,5.496462,24559.262964,-0.124020
matrix_free,time_complexity,3,9,27,8,2,263169,0,7.668941,0.089308,10.680859,18.473731,6,0.000000,5.542500,14245.579175,0.000000
matrix_based,time_complexity,3,9,27,9,2,1050625,262144,6.871851,2.010052,10.351975,20.013389,11,0.000000,21.472933,52496.106408,-0.124020
matrix_free,time_complexity,3,9,27,9,2,1050625,0,11.127168,0.287507,13.684367,25.203365,6,0.000000,21.602802,41685.901897,0.000000
matrix_based,time_complexity,3,9,27,10,2,4198401,1048576,21.077602,7.276688,28.019607,59.289240,12,0.000000,84.863466,70812.191380,-0.124020
matrix_free,time_complexity,3,9,27,10,2,4198401,0,21.512109,1.412368,28.457738,52.201154,6,0.000000,85.614461,80427.359818,0.000000
